# showing highest scores:
"2015-16" 3 ELA 431 438 441 451 462
"2015-16" 3 MA 439 447 450 459 472
"2015-16" 4 ELA 438 444 447 458 468
"2015-16" 4 MA 440 448 450 459 473
"2015-16" 5 ELA 442 449 452 462 473
"2015-16" 5 MA 440 448 450 459 474
"2014-15" 3 ELA 431 438 441 451 461
"2014-15" 3 MA 439 447 450 459 473
"2014-15" 4 ELA 438 444 447 459 468
"2014-15" 4 MA 440 448 450 459 475
"2014-15" 5 ELA 442 449 452 462 473
"2014-15" 5 MA 440 448 450 459 475
"2013-14" 3 ELA 431 438 441 451 461
"2013-14" 3 MA 439 447 450 459 473
"2013-14" 4 ELA 438 444 447 459 468
"2013-14" 4 MA 440 448 450 459 475
"2013-14" 5 ELA 442 449 452 462 472
"2013-14" 5 MA 440 448 450 459 475

Grade,Subject,acYear,Level,Score,Freq,X,Y,Z
4,ELA,"2013-14",2,441,3320,32797,3.21,31.67
4,ELA,"2013-14",2,440,1462,29477,1.41,28.47
4,ELA,"2013-14",2,439,2832,28015,2.73,27.05
4,ELA,"2013-14",1,438,2669,25183,2.58,24.32
4,ELA,"2013-14",1,437,2462,22514,2.38,21.74
4,ELA,"2013-14",1,436,2285,20052,2.21,19.36
4,ELA,"2013-14",1,435,2214,17767,2.14,17.16
4,ELA,"2013-14",1,434,1920,15553,1.85,15.02
4,ELA,"2013-14",1,433,1802,13633,1.74,13.17
4,ELA,"2013-14",1,432,1641,11831,1.58,11.43
4,ELA,"2013-14",1,431,1527,10190,1.47,9.84
4,ELA,"2013-14",1,430,1444,8663,1.39,8.37
4,ELA,"2013-14",1,429,1288,7219,1.24,6.97
4,ELA,"2013-14",1,428,1157,5931,1.12,5.73
4,ELA,"2013-14",1,427,1027,4774,0.99,4.61
4,ELA,"2013-14",1,426,882,3747,0.85,3.62
4,ELA,"2013-14",1,424,769,2865,0.74,2.77
4,ELA,"2013-14",1,423,621,2096,0.60,2.02
4,ELA,"2013-14",1,422,521,1475,0.50,1.42
4,ELA,"2013-14",1,421,383,954,0.37,0.92
4,ELA,"2013-14",1,420,251,571,0.24,0.55
4,ELA,"2013-14",1,419,156,320,0.15,0.31
4,ELA,"2013-14",1,418,54,164,0.05,0.16
4,ELA,"2013-14",1,417,56,110,0.05,0.11
4,ELA,"2013-14",1,416,30,54,0.03,0.05
4,ELA,"2013-14",1,415,12,24,0.01,0.02
4,ELA,"2013-14",1,414,4,12,0.00,0.01
4,ELA,"2013-14",1,412,8,8,0.01,0.01
4,MA,"2013-14",5,475,111,103977,0.11,100.00
4,MA,"2013-14",5,473,338,103866,0.33,99.89
4,MA,"2013-14",5,472,421,103528,0.40,99.57
4,MA,"2013-14",5,470,793,103107,0.76,99.16
4,MA,"2013-14",5,469,677,102314,0.65,98.40
4,MA,"2013-14",5,467,2235,101637,2.15,97.75
4,MA,"2013-14",5,465,2631,99402,2.53,95.60
4,MA,"2013-14",5,464,1442,96771,1.39,93.07
4,MA,"2013-14",5,463,1546,95329,1.49,91.68
4,MA,"2013-14",5,462,3249,93783,3.12,90.20
4,MA,"2013-14",5,461,3198,90534,3.08,87.07
4,MA,"2013-14",5,460,1585,87336,1.52,84.00
4,MA,"2013-14",4,459,1730,85751,1.66,82.47
4,MA,"2013-14",4,458,3286,84021,3.16,80.81
4,MA,"2013-14",4,457,3308,80735,3.18,77.65
4,MA,"2013-14",4,456,4813,77427,4.63,74.47
4,MA,"2013-14",4,455,4841,72614,4.66,69.84
4,MA,"2013-14",4,454,3173,67773,3.05,65.18
4,MA,"2013-14",4,453,3154,64600,3.03,62.13
4,MA,"2013-14",4,452,3092,61446,2.97,59.10
4,MA,"2013-14",4,451,4601,58354,4.43,56.12
4,MA,"2013-14",3,450,3051,53753,2.93,51.70
4,MA,"2013-14",3,449,4532,50702,4.36,48.76
4,MA,"2013-14",2,448,3010,46170,2.89,44.40
4,MA,"2013-14",2,447,2813,43160,2.71,41.51
4,MA,"2013-14",2,446,4396,40347,4.23,38.80
4,MA,"2013-14",2,445,2970,35951,2.86,34.58
4,MA,"2013-14",2,444,2917,32981,2.81,31.72
4,MA,"2013-14",2,443,2885,30064,2.77,28.91
4,MA,"2013-14",2,442,2924,27179,2.81,26.14
4,MA,"2013-14",2,441,2885,24255,2.77,23.33
4,MA,"2013-14",1,440,2867,21370,2.76,20.55
4,MA,"2013-14",1,439,2911,18503,2.80,17.80
4,MA,"2013-14",1,438,1354,15592,1.30,15.00
4,MA,"2013-14",1,437,2849,14238,2.74,13.69
4,MA,"2013-14",1,436,1369,11389,1.32,10.95
4,MA,"2013-14",1,435,2511,10020,2.41,9.64
4,MA,"2013-14",1,434,2286,7509,2.20,7.22
4,MA,"2013-14",1,433,1866,5223,1.79,5.02
4,MA,"2013-14",1,432,694,3357,0.67,3.23
4,MA,"2013-14",1,431,713,2663,0.69,2.56
4,MA,"2013-14",1,430,958,1950,0.92,1.88
4,MA,"2013-14",1,429,547,992,0.53,0.95
4,MA,"2013-14",1,428,274,445,0.26,0.43
4,MA,"2013-14",1,427,130,171,0.13,0.16
4,MA,"2013-14",1,426,27,41,0.03,0.04
4,MA,"2013-14",1,425,9,14,0.01,0.01
4,MA,"2013-14",1,424,5,5,0.00,0.01
5,ELA,"2013-14",5,472,601,111175,0.54,100.00
5,ELA,"2013-14",5,469,1873,110574,1.68,99.46
5,ELA,"2013-14",5,467,1472,108701,1.32,97.78
5,ELA,"2013-14",5,466,1590,107229,1.43,96.45
5,ELA,"2013-14",5,464,4186,105639,3.77,95.02
5,ELA,"2013-14",4,462,2331,101453,2.10,91.26
5,ELA,"2013-14",4,461,2560,99122,2.30,89.16
5,ELA,"2013-14",4,460,5414,96562,4.87,86.86
5,ELA,"2013-14",4,459,2738,91148,2.46,81.99
5,ELA,"2013-14",4,458,3050,88410,2.74,79.52
5,ELA,"2013-14",4,457,3005,85360,2.70,76.78
5,ELA,"2013-14",4,456,5855,82355,5.27,74.08
5,ELA,"2013-14",4,455,3064,76500,2.76,68.81
5,ELA,"2013-14",4,454,2760,73436,2.48,66.05
5,ELA,"2013-14",4,453,5578,70676,5.02,63.57
5,ELA,"2013-14",3,452,5286,65098,4.75,58.56
5,ELA,"2013-14",3,451,5099,59812,4.59,53.80
5,ELA,"2013-14",3,450,4983,54713,4.48,49.21
5,ELA,"2013-14",2,449,4496,49730,4.04,44.73
5,ELA,"2013-14",2,448,4306,45234,3.87,40.69
5,ELA,"2013-14",2,447,4011,40928,3.61,36.81
5,ELA,"2013-14",2,446,3781,36917,3.40,33.21
5,ELA,"2013-14",2,445,1728,33136,1.55,29.81
5,ELA,"2013-14",2,444,3317,31408,2.98,28.25
5,ELA,"2013-14",2,443,3138,28091,2.82,25.27
5,ELA,"2013-14",1,442,2850,24953,2.56,22.45
5,ELA,"2013-14",1,441,2611,22103,2.35,19.88
5,ELA,"2013-14",1,440,2456,19492,2.21,17.53
5,ELA,"2013-14",1,439,2202,17036,1.98,15.32
5,ELA,"2013-14",1,438,2038,14834,1.83,13.34
5,ELA,"2013-14",1,437,1882,12796,1.69,11.51
5,ELA,"2013-14",1,436,1747,10914,1.57,9.82
5,ELA,"2013-14",1,435,1613,9167,1.45,8.25
5,ELA,"2013-14",1,434,1446,7554,1.30,6.80
5,ELA,"2013-14",1,433,1298,6108,1.17,5.49
5,ELA,"2013-14",1,432,1147,4810,1.03,4.33
5,ELA,"2013-14",1,431,533,3663,0.48,3.30
5,ELA,"2013-14",1,430,868,3130,0.78,2.82
5,ELA,"2013-14",1,429,380,2262,0.34,2.04
5,ELA,"2013-14",1,428,670,1882,0.60,1.69
5,ELA,"2013-14",1,427,495,1212,0.45,1.09
5,ELA,"2013-14",1,426,302,717,0.27,0.65
5,ELA,"2013-14",1,425,205,415,0.18,0.37
5,ELA,"2013-14",1,424,109,210,0.10,0.19
5,ELA,"2013-14",1,423,52,101,0.05,0.09
5,ELA,"2013-14",1,422,29,49,0.03,0.04
5,ELA,"2013-14",1,421,16,20,0.01,0.02
5,ELA,"2013-14",1,420,1,4,0.00,0.00
5,ELA,"2013-14",1,419,3,3,0.00,0.00
5,MA,"2013-14",5,475,274,111718,0.25,100.00
5,MA,"2013-14",5,474,327,111444,0.29,99.76
5,MA,"2013-14",5,471,592,111117,0.53,99.46
5,MA,"2013-14",5,470,753,110525,0.67,98.93
5,MA,"2013-14",5,469,875,109772,0.78,98.26
5,MA,"2013-14",5,468,1062,108897,0.95,97.48
5,MA,"2013-14",5,467,1109,107835,0.99,96.52
5,MA,"2013-14",5,466,1228,106726,1.10,95.53
5,MA,"2013-14",5,465,1292,105498,1.16,94.43
5,MA,"2013-14",5,464,2836,104206,2.54,93.28
5,MA,"2013-14",5,463,1554,101370,1.39,90.74
5,MA,"2013-14",5,462,3125,99816,2.80,89.35
5,MA,"2013-14",5,461,1538,96691,1.38,86.55
5,MA,"2013-14",5,460,3310,95153,2.96,85.17
5,MA,"2013-14",4,459,3307,91843,2.96,82.21
5,MA,"2013-14",4,458,3455,88536,3.09,79.25
5,MA,"2013-14",4,457,3453,85081,3.09,76.16
5,MA,"2013-14",4,456,5293,81628,4.74,73.07
5,MA,"2013-14",4,455,5343,76335,4.78,68.33
5,MA,"2013-14",4,454,3550,70992,3.18,63.55
5,MA,"2013-14",4,453,3482,67442,3.12,60.37
5,MA,"2013-14",4,452,3445,63960,3.08,57.25
5,MA,"2013-14",4,451,6803,60515,6.09,54.17
5,MA,"2013-14",3,450,3391,53712,3.04,48.08
5,MA,"2013-14",3,449,3340,50321,2.99,45.04
5,MA,"2013-14",2,448,3438,46981,3.08,42.05
5,MA,"2013-14",2,447,3466,43543,3.10,38.98
5,MA,"2013-14",2,446,3394,40077,3.04,35.87
5,MA,"2013-14",2,445,3460,36683,3.10,32.84
5,MA,"2013-14",2,444,3321,33223,2.97,29.74
5,MA,"2013-14",2,443,3247,29902,2.91,26.77
5,MA,"2013-14",2,442,3314,26655,2.97,23.86
5,MA,"2013-14",2,441,3229,23341,2.89,20.89
5,MA,"2013-14",1,440,3149,20112,2.82,18.00
5,MA,"2013-14",1,439,1366,16963,1.22,15.18
5,MA,"2013-14",1,438,2985,15597,2.67,13.96
5,MA,"2013-14",1,437,1473,12612,1.32,11.29
5,MA,"2013-14",1,436,2637,11139,2.36,9.97
5,MA,"2013-14",1,435,2351,8502,2.10,7.61
5,MA,"2013-14",1,434,1058,6151,0.95,5.51
5,MA,"2013-14",1,433,1749,5093,1.57,4.56
5,MA,"2013-14",1,432,715,3344,0.64,2.99
5,MA,"2013-14",1,431,1093,2629,0.98,2.35
5,MA,"2013-14",1,430,743,1536,0.67,1.38
5,MA,"2013-14",1,429,423,793,0.38,0.71
5,MA,"2013-14",1,428,234,370,0.21,0.33
5,MA,"2013-14",1,427,82,136,0.07,0.12
5,MA,"2013-14",1,426,47,54,0.04,0.05
5,MA,"2013-14",1,425,5,7,0.00,0.01
5,MA,"2013-14",1,424,2,2,0.00,0.00
3,MA,"2014-15",5,473,305,116404,0.26,100.00
3,MA,"2014-15",5,472,557,116099,0.48,99.74
3,MA,"2014-15",5,470,777,115542,0.67,99.26
3,MA,"2014-15",5,469,1238,114765,1.06,98.59
3,MA,"2014-15",5,467,1196,113527,1.03,97.53
3,MA,"2014-15",5,466,1679,112331,1.44,96.50
3,MA,"2014-15",5,465,1500,110652,1.29,95.06
3,MA,"2014-15",5,464,1976,109152,1.70,93.77
3,MA,"2014-15",5,463,1768,107176,1.52,92.07
3,MA,"2014-15",5,462,4034,105408,3.47,90.55
3,MA,"2014-15",5,460,4154,101374,3.57,87.09
3,MA,"2014-15",4,459,4225,97220,3.63,83.52
3,MA,"2014-15",4,458,4330,92995,3.72,79.89
3,MA,"2014-15",4,457,4541,88665,3.90,76.17
3,MA,"2014-15",4,456,4368,84124,3.75,72.27
3,MA,"2014-15",4,455,4284,79756,3.68,68.52
3,MA,"2014-15",4,454,4246,75472,3.65,64.84
3,MA,"2014-15",4,453,4178,71226,3.59,61.19
3,MA,"2014-15",4,452,3926,67048,3.37,57.60
3,MA,"2014-15",4,451,3784,63122,3.25,54.23
3,MA,"2014-15",3,450,3840,59338,3.30,50.98
3,MA,"2014-15",3,449,7444,55498,6.39,47.68
3,MA,"2014-15",3,448,3610,48054,3.10,41.28
3,MA,"2014-15",2,447,3440,44444,2.96,38.18
3,MA,"2014-15",2,446,3320,41004,2.85,35.23
3,MA,"2014-15",2,445,3217,37684,2.76,32.37
3,MA,"2014-15",2,444,3181,34467,2.73,29.61
3,MA,"2014-15",2,443,3156,31286,2.71,26.88
3,MA,"2014-15",2,442,3139,28130,2.70,24.17
3,MA,"2014-15",2,441,2976,24991,2.56,21.47
3,MA,"2014-15",2,440,2990,22015,2.57,18.91
3,MA,"2014-15",1,439,2862,19025,2.46,16.34
3,MA,"2014-15",1,438,2732,16163,2.35,13.89
3,MA,"2014-15",1,437,1302,13431,1.12,11.54
3,MA,"2014-15",1,436,2579,12129,2.22,10.42
3,MA,"2014-15",1,435,2266,9550,1.95,8.20
3,MA,"2014-15",1,434,2047,7284,1.76,6.26
3,MA,"2014-15",1,433,855,5237,0.73,4.50
3,MA,"2014-15",1,432,804,4382,0.69,3.76
3,MA,"2014-15",1,431,1339,3578,1.15,3.07
3,MA,"2014-15",1,430,949,2239,0.82,1.92
3,MA,"2014-15",1,429,551,1290,0.47,1.11
3,MA,"2014-15",1,428,394,739,0.34,0.64
3,MA,"2014-15",1,427,87,345,0.07,0.30
3,MA,"2014-15",1,426,143,258,0.12,0.22
3,MA,"2014-15",1,425,64,115,0.05,0.10
3,MA,"2014-15",1,424,26,51,0.02,0.04
3,MA,"2014-15",1,423,5,25,0.00,0.02
3,MA,"2014-15",1,422,7,20,0.01,0.02
3,MA,"2014-15",1,421,13,13,0.01,0.01
4,MA,"2014-15",5,475,122,113968,0.11,100.00
4,MA,"2014-15",5,473,422,113846,0.37,99.89
4,MA,"2014-15",5,472,457,113424,0.40,99.52
4,MA,"2014-15",5,470,942,112967,0.83,99.12
4,MA,"2014-15",5,469,920,112025,0.81,98.30
4,MA,"2014-15",5,467,2447,111105,2.15,97.49
4,MA,"2014-15",5,465,2979,108658,2.61,95.34
4,MA,"2014-15",5,464,1602,105679,1.41,92.73
4,MA,"2014-15",5,463,1735,104077,1.52,91.32
4,MA,"2014-15",5,462,3474,102342,3.05,89.80
4,MA,"2014-15",5,461,3536,98868,3.10,86.75
4,MA,"2014-15",5,460,1799,95332,1.58,83.65
4,MA,"2014-15",4,459,1891,93533,1.66,82.07
4,MA,"2014-15",4,458,3577,91642,3.14,80.41
4,MA,"2014-15",4,457,3536,88065,3.10,77.27
4,MA,"2014-15",4,456,5221,84529,4.58,74.17
4,MA,"2014-15",4,455,5461,79308,4.79,69.59
4,MA,"2014-15",4,454,3454,73847,3.03,64.80
4,MA,"2014-15",4,453,3454,70393,3.03,61.77
4,MA,"2014-15",4,452,3364,66939,2.95,58.74
4,MA,"2014-15",4,451,5037,63575,4.42,55.78
4,MA,"2014-15",3,450,3475,58538,3.05,51.36
4,MA,"2014-15",3,449,5004,55063,4.39,48.31
4,MA,"2014-15",2,448,3147,50059,2.76,43.92
4,MA,"2014-15",2,447,3150,46912,2.76,41.16
4,MA,"2014-15",2,446,4526,43762,3.97,38.40
4,MA,"2014-15",2,445,3063,39236,2.69,34.43
4,MA,"2014-15",2,444,3038,36173,2.67,31.74
4,MA,"2014-15",2,443,2985,33135,2.62,29.07
4,MA,"2014-15",2,442,3059,30150,2.68,26.46
4,MA,"2014-15",2,441,3083,27091,2.71,23.77
4,MA,"2014-15",1,440,2951,24008,2.59,21.07
4,MA,"2014-15",1,439,3124,21057,2.74,18.48
4,MA,"2014-15",1,438,1507,17933,1.32,15.74
4,MA,"2014-15",1,437,3044,16426,2.67,14.41
4,MA,"2014-15",1,436,1568,13382,1.38,11.74
4,MA,"2014-15",1,435,2813,11814,2.47,10.37
4,MA,"2014-15",1,434,2594,9001,2.28,7.90
4,MA,"2014-15",1,433,2263,6407,1.99,5.62
4,MA,"2014-15",1,432,846,4144,0.74,3.64
4,MA,"2014-15",1,431,815,3298,0.72,2.89
4,MA,"2014-15",1,430,1221,2483,1.07,2.18
4,MA,"2014-15",1,429,675,1262,0.59,1.11
4,MA,"2014-15",1,428,355,587,0.31,0.52
4,MA,"2014-15",1,427,158,232,0.14,0.20
4,MA,"2014-15",1,426,54,74,0.05,0.07
4,MA,"2014-15",1,425,14,20,0.01,0.02
4,MA,"2014-15",1,424,6,6,0.01,0.01
5,MA,"2014-15",5,475,269,106611,0.25,100.00
5,MA,"2014-15",5,474,466,106342,0.44,99.75
5,MA,"2014-15",5,471,1422,105876,1.33,99.31
5,MA,"2014-15",5,469,900,104454,0.84,97.98
5,MA,"2014-15",5,468,1058,103554,0.99,97.13
5,MA,"2014-15",5,467,1071,102496,1.00,96.14
5,MA,"2014-15",5,466,1276,101425,1.20,95.14
5,MA,"2014-15",5,465,2782,100149,2.61,93.94
5,MA,"2014-15",5,464,1315,97367,1.23,91.33
5,MA,"2014-15",5,463,1435,96052,1.35,90.10
5,MA,"2014-15",5,462,2831,94617,2.66,88.75
5,MA,"2014-15",5,461,2991,91786,2.81,86.09
5,MA,"2014-15",5,460,3123,88795,2.93,83.29
5,MA,"2014-15",4,459,3255,85672,3.05,80.36
5,MA,"2014-15",4,458,3312,82417,3.11,77.31
5,MA,"2014-15",4,457,3184,79105,2.99,74.20
5,MA,"2014-15",4,456,3268,75921,3.07,71.21
5,MA,"2014-15",4,455,4861,72653,4.56,68.15
5,MA,"2014-15",4,454,3207,67792,3.01,63.59
5,MA,"2014-15",4,453,4816,64585,4.52,60.58
5,MA,"2014-15",4,452,3262,59769,3.06,56.06
5,MA,"2014-15",4,451,4865,56507,4.56,53.00
5,MA,"2014-15",3,450,3217,51642,3.02,48.44
5,MA,"2014-15",3,449,3229,48425,3.03,45.42
5,MA,"2014-15",2,448,3066,45196,2.88,42.39
5,MA,"2014-15",2,447,4464,42130,4.19,39.52
5,MA,"2014-15",2,446,3008,37666,2.82,35.33
5,MA,"2014-15",2,445,3145,34658,2.95,32.51
5,MA,"2014-15",2,444,3079,31513,2.89,29.56
5,MA,"2014-15",2,443,3075,28434,2.88,26.67
5,MA,"2014-15",2,442,1539,25359,1.44,23.79
5,MA,"2014-15",2,441,2976,23820,2.79,22.34
5,MA,"2014-15",1,440,2986,20844,2.80,19.55
5,MA,"2014-15",1,439,1488,17858,1.40,16.75
5,MA,"2014-15",1,438,2904,16370,2.72,15.36
5,MA,"2014-15",1,437,1500,13466,1.41,12.63
5,MA,"2014-15",1,436,2708,11966,2.54,11.22
5,MA,"2014-15",1,435,2513,9258,2.36,8.68
5,MA,"2014-15",1,434,1090,6745,1.02,6.33
5,MA,"2014-15",1,433,1933,5655,1.81,5.30
5,MA,"2014-15",1,432,1496,3722,1.40,3.49
5,MA,"2014-15",1,431,561,2226,0.53,2.09
5,MA,"2014-15",1,430,813,1665,0.76,1.56
5,MA,"2014-15",1,429,478,852,0.45,0.80
5,MA,"2014-15",1,428,239,374,0.22,0.35
5,MA,"2014-15",1,427,92,135,0.09,0.13
5,MA,"2014-15",1,426,32,43,0.03,0.04
5,MA,"2014-15",1,425,2,11,0.00,0.01
5,MA,"2014-15",1,424,9,9,0.01,0.01
3,ELA,"2014-15",5,461,2161,116376,1.86,100.00
3,ELA,"2014-15",5,457,4632,114215,3.98,98.14
3,ELA,"2014-15",5,454,6075,109583,5.22,94.16
3,ELA,"2014-15",5,453,582,103508,0.50,88.94
3,ELA,"2014-15",4,451,6641,102926,5.71,88.44
3,ELA,"2014-15",4,449,7007,96285,6.02,82.74
3,ELA,"2014-15",4,447,7104,89278,6.10,76.72
3,ELA,"2014-15",4,445,7038,82174,6.05,70.61
3,ELA,"2014-15",4,444,6276,75136,5.39,64.56
3,ELA,"2014-15",4,443,240,68860,0.21,59.17
3,ELA,"2014-15",4,442,6340,68620,5.45,58.96
3,ELA,"2014-15",3,441,5118,62280,4.40,53.52
3,ELA,"2014-15",3,440,4891,57162,4.20,49.12
