"CountyCode","CountyName","LEA","OfficialSchoolName"
"092","Wake","92D","Magellan Charter"
"092","Wake","92E","Sterling Montessori Academy"
"092","Wake","92F","Franklin Academy"
"092","Wake","92G","East Wake Academy"
"092","Wake","92K","Raleigh Charter High School"
"092","Wake","92L","Torchlight Academy"
"092","Wake","92M","PreEminent Charter School"
"092","Wake","92N","Quest Academy"
"092","Wake","92P","Southern Wake Academy"
"092","Wake","92Q","Hope Charter Leadership Academy"
"092","Wake","92R","Casa Esperanza Montessori Charter School"
"092","Wake","92S","Endeavor Charter"
"092","Wake","92T","Triangle Math and Science Academy"
"092","Wake","92U","Longleaf School of the Arts"
"092","Wake","92V","Wake Forest Charter Academy"
"092","Wake","92W","Cardinal Charter Academy"
"092","Wake","92Y","Envision Science Academy"
"093","Warren","93A","Haliwa-Saponi Tribal School"
"092","Wake","93J","PAVE Southeast Raleigh Charter School"
"092","Wake","93L","Central Wake Charter High School"
"095","Watauga","95A","Two Rivers Community School"
"096","Wayne","96C","Dillard Academy Charter School"
"096","Wayne","96F","Wayne Preparatory Academy"
"097","Wilkes","97D","Bridges Academy"
"098","Wilson","98A","Sallie B Howard School for the Arts and Education"
"098","Wilson","98B","Wilson Preparatory Academy"
