2013-14 State, District, School Level EOG and EOC Report								
Percentages greater than 95 are displayed as >95 and percentages less than 5 are displayed as <5.								
Results are blank or excluded from the file if the denominator is less than 5 scores or students.								
College & Career Ready (CCR) - Level 4 & 5 /Grade Level Proficient (GLP) - Level 3 & Above								
								
Note:  Filter applied to all columns headers.  For sorting or filtering, click on the down arrow.								
District Name	School Name	School Code	Subject	Percent Level 1	Percent Level 2	Percent Level 3	Percent Level 4	Percent Level 5
Alamance-Burlington Schools	Altamahaw Ossipee Elem	010308	Reading Grade 3	14.0	24.0	15.0	30.0	17.0
Alamance-Burlington Schools	Altamahaw Ossipee Elem	010308	Reading Grade 4	7.9	11.2	11.2	59.6	10.1
Alamance-Burlington Schools	Altamahaw Ossipee Elem	010308	Reading Grade 5	26.8	19.6	18.6	24.7	10.3
Alamance-Burlington Schools	Altamahaw Ossipee Elem	010308	All Math	11.5	23.4	7.3	37.1	20.6
Alamance-Burlington Schools	Altamahaw Ossipee Elem	010308	Math Grade 3	5.0	23.0	8.0	45.0	19.0
Alamance-Burlington Schools	Altamahaw Ossipee Elem	010308	Math Grade 4	12.4	18.0	6.7	37.1	25.8
Alamance-Burlington Schools	Altamahaw Ossipee Elem	010308	Math Grade 5	17.5	28.9	7.2	28.9	17.5
Alamance-Burlington Schools	Altamahaw Ossipee Elem	010308	All Science	18.8	16.7	8.3	37.5	18.8
Alamance-Burlington Schools	Altamahaw Ossipee Elem	010308	Science Grade 5	18.8	16.7	8.3	37.5	18.8
Alamance-Burlington Schools	Broadview Middle	010310	All Subjects	42.0	27.2	7.6	19.8	<5
Alamance-Burlington Schools	Broadview Middle	010310	All EOG	42.6	27.5	7.4	19.2	<5
Alamance-Burlington Schools	Broadview Middle	010310	EOG Grade 6	46.4	24.3	8.2	15.8	5.4
Alamance-Burlington Schools	Broadview Middle	010310	EOG Grade 7	42.6	28.4	6.0	20.5	<5
Alamance-Burlington Schools	Broadview Middle	010310	EOG Grade 8	39.9	29.2	7.8	20.8	<5
Alamance-Burlington Schools	Broadview Middle	010310	All Reading	37.0	29.3	8.9	21.6	<5
Alamance-Burlington Schools	Broadview Middle	010310	Reading Grade 6	38.8	26.1	10.5	18.8	5.8
Alamance-Burlington Schools	Broadview Middle	010310	Reading Grade 7	33.8	29.3	7.5	26.7	<5
Alamance-Burlington Schools	Broadview Middle	010310	Reading Grade 8	38.4	32.6	8.5	19.4	<5
Alamance-Burlington Schools	Broadview Middle	010310	All Math	49.2	28.4	5.6	13.8	<5
Alamance-Burlington Schools	Broadview Middle	010310	Math Grade 6	54.0	22.5	5.8	12.7	5.1
Alamance-Burlington Schools	Broadview Middle	010310	Math Grade 7	51.3	27.5	<5	14.3	<5
Alamance-Burlington Schools	Broadview Middle	010310	Math Grade 8	42.0	35.8	6.6	14.4	<5
Alamance-Burlington Schools	Broadview Middle	010310	All Science	39.5	19.1	8.2	28.5	<5
Alamance-Burlington Schools	Broadview Middle	010310	Science Grade 8	39.5	19.1	8.2	28.5	<5
Alamance-Burlington Schools	Broadview Middle	010310	All EOC	<5	<5	23.1	65.4	7.7
Alamance-Burlington Schools	Broadview Middle	010310	Math I	<5	<5	23.1	65.4	7.7
Alamance-Burlington Schools	Highland Elementary	010312	All Subjects	13.5	15.3	12.6	40.1	18.5
Alamance-Burlington Schools	Highland Elementary	010312	All EOG	13.5	15.3	12.6	40.1	18.5
Alamance-Burlington Schools	Highland Elementary	010312	EOG Grade 3	9.7	18.9	15.8	40.8	14.8
Alamance-Burlington Schools	Highland Elementary	010312	EOG Grade 4	15.7	10.3	9.3	44.6	20.1
Alamance-Burlington Schools	Highland Elementary	010312	EOG Grade 5	14.5	16.4	12.7	36.7	19.8
Alamance-Burlington Schools	Highland Elementary	010312	All Reading	14.0	13.3	15.3	45.5	12.0
Alamance-Burlington Schools	Highland Elementary	010312	Reading Grade 3	9.2	12.2	16.3	46.9	15.3
Alamance-Burlington Schools	Highland Elementary	010312	Reading Grade 4	15.7	9.8	12.7	54.9	6.9
Alamance-Burlington Schools	Highland Elementary	010312	Reading Grade 5	16.7	17.6	16.7	35.2	13.9
Alamance-Burlington Schools	Highland Elementary	010312	All Math	14.3	17.9	10.1	32.1	25.6
Alamance-Burlington Schools	Highland Elementary	010312	Math Grade 3	10.2	25.5	15.3	34.7	14.3
Alamance-Burlington Schools	Highland Elementary	010312	Math Grade 4	15.7	10.8	5.9	34.3	33.3
Alamance-Burlington Schools	Highland Elementary	010312	Math Grade 5	16.7	17.6	9.3	27.8	28.7
Alamance-Burlington Schools	Highland Elementary	010312	All Science	10.2	13.9	12.0	47.2	16.7
Alamance-Burlington Schools	Highland Elementary	010312	Science Grade 5	10.2	13.9	12.0	47.2	16.7
Alamance-Burlington Schools	E M Yoder Elementary	010320	All Subjects	14.2	20.4	11.0	40.2	14.2
Alamance-Burlington Schools	E M Yoder Elementary	010320	All EOG	14.2	20.4	11.0	40.2	14.2
Alamance-Burlington Schools	E M Yoder Elementary	010320	EOG Grade 3	15.1	23.3	10.5	37.2	14.0
Alamance-Burlington Schools	E M Yoder Elementary	010320	EOG Grade 4	18.2	22.7	10.0	38.2	10.9
Alamance-Burlington Schools	E M Yoder Elementary	010320	EOG Grade 5	11.3	17.5	11.9	42.9	16.4
Alamance-Burlington Schools	E M Yoder Elementary	010320	All Reading	12.7	19.1	14.0	43.3	10.8
Alamance-Burlington Schools	E M Yoder Elementary	010320	Reading Grade 3	16.3	16.3	9.3	41.9	16.3
Alamance-Burlington Schools	E M Yoder Elementary	010320	Reading Grade 4	9.1	21.8	10.9	52.7	5.5
Alamance-Burlington Schools	E M Yoder Elementary	010320	Reading Grade 5	13.6	18.6	20.3	35.6	11.9
Alamance-Burlington Schools	E M Yoder Elementary	010320	All Math	18.5	23.6	7.0	34.4	16.6
Alamance-Burlington Schools	E M Yoder Elementary	010320	Math Grade 3	14.0	30.2	11.6	32.6	11.6
Alamance-Burlington Schools	E M Yoder Elementary	010320	Math Grade 4	27.3	23.6	9.1	23.6	16.4
Alamance-Burlington Schools	E M Yoder Elementary	010320	Math Grade 5	13.6	18.6	<5	45.8	20.3
Alamance-Burlington Schools	E M Yoder Elementary	010320	All Science	6.8	15.3	13.6	47.5	16.9
Alamance-Burlington Schools	E M Yoder Elementary	010320	Science Grade 5	6.8	15.3	13.6	47.5	16.9
Alamance-Burlington Schools	Eastern Alamance High	010324	All Subjects	21.6	21.3	10.8	34.5	11.8
Alamance-Burlington Schools	Eastern Alamance High	010324	All EOC	21.6	21.3	10.8	34.5	11.8
Alamance-Burlington Schools	Eastern Alamance High	010324	Math I	22.3	20.5	14.2	32.1	10.9
Alamance-Burlington Schools	Eastern Alamance High	010324	Biology	19.2	19.2	8.1	32.0	21.6
Alamance-Burlington Schools	Eastern Alamance High	010324	English II	23.2	24.4	9.5	39.5	<5
Alamance-Burlington Schools	Eastlawn Elementary	010326	All Subjects	50.0	27.4	7.5	12.7	<5
Alamance-Burlington Schools	Eastlawn Elementary	010326	All EOG	50.0	27.4	7.5	12.7	<5
Alamance-Burlington Schools	Eastlawn Elementary	010326	EOG Grade 3	41.9	25.7	14.2	15.5	<5
Alamance-Burlington Schools	Eastlawn Elementary	010326	EOG Grade 4	55.4	31.3	<5	9.0	<5
Alamance-Burlington Schools	Eastlawn Elementary	010326	EOG Grade 5	51.4	25.7	6.3	13.5	<5
Alamance-Burlington Schools	Eastlawn Elementary	010326	All Reading	51.1	27.3	7.8	12.1	<5
Alamance-Burlington Schools	Eastlawn Elementary	010326	Reading Grade 3	41.9	28.4	9.5	18.9	<5
Alamance-Burlington Schools	Eastlawn Elementary	010326	Reading Grade 4	57.8	26.5	<5	10.8	<5
Alamance-Burlington Schools	Eastlawn Elementary	010326	Reading Grade 5	52.7	27.0	12.2	6.8	<5
Alamance-Burlington Schools	Eastlawn Elementary	010326	All Math	45.9	29.9	8.2	13.4	<5
Alamance-Burlington Schools	Eastlawn Elementary	010326	Math Grade 3	41.9	23.0	18.9	12.2	<5
Alamance-Burlington Schools	Eastlawn Elementary	010326	Math Grade 4	53.0	36.1	<5	7.2	<5
Alamance-Burlington Schools	Eastlawn Elementary	010326	Math Grade 5	41.9	29.7	<5	21.6	<5
Alamance-Burlington Schools	Eastlawn Elementary	010326	All Science	59.5	20.3	<5	12.2	<5
Alamance-Burlington Schools	Eastlawn Elementary	010326	Science Grade 5	59.5	20.3	<5	12.2	<5
Alamance-Burlington Schools	Edwin M Holt Elementary	010328	All Subjects	17.9	18.9	12.1	38.4	12.8
Alamance-Burlington Schools	Edwin M Holt Elementary	010328	All EOG	17.9	18.9	12.1	38.4	12.8
Alamance-Burlington Schools	Edwin M Holt Elementary	010328	EOG Grade 3	16.5	13.9	12.6	41.3	15.7
Alamance-Burlington Schools	Edwin M Holt Elementary	010328	EOG Grade 4	16.0	20.9	10.7	42.7	9.7
Alamance-Burlington Schools	Edwin M Holt Elementary	010328	EOG Grade 5	20.4	21.4	12.6	33.0	12.6
Alamance-Burlington Schools	Edwin M Holt Elementary	010328	All Reading	20.4	18.8	12.1	39.0	9.6
Alamance-Burlington Schools	Edwin M Holt Elementary	010328	Reading Grade 3	19.1	13.0	13.0	40.0	14.8
Alamance-Burlington Schools	Edwin M Holt Elementary	010328	Reading Grade 4	18.4	21.4	8.7	45.6	5.8
Alamance-Burlington Schools	Edwin M Holt Elementary	010328	Reading Grade 5	24.2	23.2	14.7	30.5	7.4
Alamance-Burlington Schools	Edwin M Holt Elementary	010328	All Math	16.0	18.8	11.2	38.3	15.7
Alamance-Burlington Schools	Edwin M Holt Elementary	010328	Math Grade 3	13.9	14.8	12.2	42.6	16.5
Alamance-Burlington Schools	Edwin M Holt Elementary	010328	Math Grade 4	13.6	20.4	12.6	39.8	13.6
Alamance-Burlington Schools	Edwin M Holt Elementary	010328	Math Grade 5	21.1	22.1	8.4	31.6	16.8
Alamance-Burlington Schools	Edwin M Holt Elementary	010328	All Science	15.8	18.9	14.7	36.8	13.7
Alamance-Burlington Schools	Edwin M Holt Elementary	010328	Science Grade 5	15.8	18.9	14.7	36.8	13.7
Alamance-Burlington Schools	Elon Elementary	010340	All Subjects	16.4	21.9	11.6	36.6	13.4
Alamance-Burlington Schools	Elon Elementary	010340	All EOG	16.4	21.9	11.6	36.6	13.4
Alamance-Burlington Schools	Elon Elementary	010340	EOG Grade 3	18.6	28.1	13.8	32.4	7.1
Alamance-Burlington Schools	Elon Elementary	010340	EOG Grade 4	27.5	22.5	10.2	31.6	8.2
Alamance-Burlington Schools	Elon Elementary	010340	EOG Grade 5	5.8	17.0	11.2	43.9	22.1
Alamance-Burlington Schools	Elon Elementary	010340	All Reading	16.3	24.0	13.8	36.9	8.9
Alamance-Burlington Schools	Elon Elementary	010340	Reading Grade 3	14.3	31.4	12.4	33.3	8.6
Alamance-Burlington Schools	Elon Elementary	010340	Reading Grade 4	24.6	19.7	12.3	36.1	7.4
Alamance-Burlington Schools	Elon Elementary	010340	Reading Grade 5	8.2	21.4	17.3	41.8	11.2
Alamance-Burlington Schools	Elon Elementary	010340	All Math	19.7	23.7	9.2	33.8	13.5
Alamance-Burlington Schools	Elon Elementary	010340	Math Grade 3	22.9	24.8	15.2	31.4	5.7
Alamance-Burlington Schools	Elon Elementary	010340	Math Grade 4	30.3	25.4	8.2	27.0	9.0
Alamance-Burlington Schools	Elon Elementary	010340	Math Grade 5	<5	20.4	<5	44.9	27.6
Alamance-Burlington Schools	Elon Elementary	010340	All Science	6.1	9.2	12.2	44.9	27.6
Alamance-Burlington Schools	Elon Elementary	010340	Science Grade 5	6.1	9.2	12.2	44.9	27.6
Alamance-Burlington Schools	B Everett Jordan Elem	010346	All Subjects	24.3	28.5	9.8	30.5	6.9
Alamance-Burlington Schools	B Everett Jordan Elem	010346	All EOG	24.3	28.5	9.8	30.5	6.9
Alamance-Burlington Schools	B Everett Jordan Elem	010346	EOG Grade 3	20.3	23.9	8.7	34.8	12.3
Alamance-Burlington Schools	B Everett Jordan Elem	010346	EOG Grade 4	27.0	27.0	11.5	28.4	6.1
Alamance-Burlington Schools	B Everett Jordan Elem	010346	EOG Grade 5	25.0	32.8	9.4	29.2	<5
Alamance-Burlington Schools	B Everett Jordan Elem	010346	All Reading	28.5	21.3	12.6	31.4	6.3
Alamance-Burlington Schools	B Everett Jordan Elem	010346	Reading Grade 3	24.6	17.4	8.7	37.7	11.6
Alamance-Burlington Schools	B Everett Jordan Elem	010346	Reading Grade 4	31.1	21.6	13.5	29.7	<5
Alamance-Burlington Schools	B Everett Jordan Elem	010346	Reading Grade 5	29.7	25.0	15.6	26.6	<5
Alamance-Burlington Schools	B Everett Jordan Elem	010346	All Math	20.8	32.4	7.7	30.0	9.2
Alamance-Burlington Schools	B Everett Jordan Elem	010346	Math Grade 3	15.9	30.4	8.7	31.9	13.0
Alamance-Burlington Schools	B Everett Jordan Elem	010346	Math Grade 4	23.0	32.4	9.5	27.0	8.1
Alamance-Burlington Schools	B Everett Jordan Elem	010346	Math Grade 5	23.4	34.4	<5	31.3	6.3
Alamance-Burlington Schools	B Everett Jordan Elem	010346	All Science	21.9	39.1	7.8	29.7	<5
Alamance-Burlington Schools	B Everett Jordan Elem	010346	Science Grade 5	21.9	39.1	7.8	29.7	<5
Alamance-Burlington Schools	Garrett Elementary	010347	All Subjects	19.5	23.4	10.9	34.0	12.2
Alamance-Burlington Schools	Garrett Elementary	010347	All EOG	19.5	23.4	10.9	34.0	12.2
Alamance-Burlington Schools	Garrett Elementary	010347	EOG Grade 3	18.6	22.3	10.0	34.1	15.0
Alamance-Burlington Schools	Garrett Elementary	010347	EOG Grade 4	20.2	17.0	13.3	35.6	13.8
Alamance-Burlington Schools	Garrett Elementary	010347	EOG Grade 5	19.6	27.1	10.3	33.1	9.8
Alamance-Burlington Schools	Garrett Elementary	010347	All Reading	23.7	23.4	11.1	32.1	9.6
Alamance-Burlington Schools	Garrett Elementary	010347	Reading Grade 3	18.2	25.5	7.3	35.5	13.6
Alamance-Burlington Schools	Garrett Elementary	010347	Reading Grade 4	24.5	19.1	13.8	36.2	6.4
Alamance-Burlington Schools	Garrett Elementary	010347	Reading Grade 5	27.9	24.8	12.4	26.4	8.5
Alamance-Burlington Schools	Garrett Elementary	010347	All Math	16.8	24.0	11.1	32.7	15.3
Alamance-Burlington Schools	Garrett Elementary	010347	Math Grade 3	19.1	19.1	12.7	32.7	16.4
Alamance-Burlington Schools	Garrett Elementary	010347	Math Grade 4	16.0	14.9	12.8	35.1	21.3
Alamance-Burlington Schools	Garrett Elementary	010347	Math Grade 5	15.5	34.9	8.5	31.0	10.1
Alamance-Burlington Schools	Garrett Elementary	010347	All Science	15.5	21.7	10.1	41.9	10.9
Alamance-Burlington Schools	Garrett Elementary	010347	Science Grade 5	15.5	21.7	10.1	41.9	10.9
Alamance-Burlington Schools	Graham High	010348	All Subjects	42.7	23.0	8.3	22.6	<5
Alamance-Burlington Schools	Graham High	010348	All EOC	42.7	23.0	8.3	22.6	<5
Alamance-Burlington Schools	Graham High	010348	Math I	44.8	23.8	8.1	17.6	5.7
Alamance-Burlington Schools	Graham High	010348	Biology	47.9	20.8	9.3	18.2	<5
Alamance-Burlington Schools	Graham High	010348	English II	36.1	24.5	7.6	30.9	<5
Alamance-Burlington Schools	Graham Middle	010350	All Subjects	40.8	26.6	8.2	20.5	<5
Alamance-Burlington Schools	Graham Middle	010350	All EOG	41.9	27.2	7.8	19.3	<5
Alamance-Burlington Schools	Graham Middle	010350	EOG Grade 6	46.0	25.5	6.8	16.0	5.6
Alamance-Burlington Schools	Graham Middle	010350	EOG Grade 7	45.2	24.5	7.7	18.7	<5
Alamance-Burlington Schools	Graham Middle	010350	EOG Grade 8	36.6	30.3	8.7	22.1	<5
Alamance-Burlington Schools	Graham Middle	010350	All Reading	33.6	32.1	10.9	20.5	<5
Alamance-Burlington Schools	Graham Middle	010350	Reading Grade 6	34.7	31.1	10.8	21.2	<5
Alamance-Burlington Schools	Graham Middle	010350	Reading Grade 7	35.6	27.5	11.2	21.9	<5
Alamance-Burlington Schools	Graham Middle	010350	Reading Grade 8	30.2	38.2	10.8	18.4	<5
Alamance-Burlington Schools	Graham Middle	010350	All Math	51.9	25.0	<5	14.0	<5
Alamance-Burlington Schools	Graham Middle	010350	Math Grade 6	57.5	19.9	<5	10.9	9.0
Alamance-Burlington Schools	Graham Middle	010350	Math Grade 7	54.7	21.6	<5	15.5	<5
Alamance-Burlington Schools	Graham Middle	010350	Math Grade 8	42.9	34.0	6.1	15.6	<5
Alamance-Burlington Schools	Graham Middle	010350	All Science	36.7	18.6	9.0	32.4	<5
Alamance-Burlington Schools	Graham Middle	010350	Science Grade 8	36.7	18.6	9.0	32.4	<5
Alamance-Burlington Schools	Graham Middle	010350	All EOC	<5	7.1	21.4	64.3	<5
Alamance-Burlington Schools	Graham Middle	010350	Math I	<5	7.1	21.4	64.3	<5
Alamance-Burlington Schools	Grove Park Elementary	010351	All Subjects	33.7	27.5	9.3	24.4	5.1
Alamance-Burlington Schools	Grove Park Elementary	010351	All EOG	33.7	27.5	9.3	24.4	5.1
Alamance-Burlington Schools	Grove Park Elementary	010351	EOG Grade 3	36.8	33.3	11.5	15.5	<5
Alamance-Burlington Schools	Grove Park Elementary	010351	EOG Grade 4	38.2	24.1	7.1	25.3	5.3
Alamance-Burlington Schools	Grove Park Elementary	010351	EOG Grade 5	29.2	26.0	9.4	29.2	6.3
Alamance-Burlington Schools	Grove Park Elementary	010351	All Reading	33.2	26.9	11.6	23.9	<5
Alamance-Burlington Schools	Grove Park Elementary	010351	Reading Grade 3	28.7	33.3	14.9	18.4	<5
Alamance-Burlington Schools	Grove Park Elementary	010351	Reading Grade 4	38.8	18.8	9.4	28.2	<5
Alamance-Burlington Schools	Grove Park Elementary	010351	Reading Grade 5	32.3	28.1	10.4	25.0	<5
Alamance-Burlington Schools	Grove Park Elementary	010351	All Math	35.1	30.2	6.3	23.1	5.2
Alamance-Burlington Schools	Grove Park Elementary	010351	Math Grade 3	44.8	33.3	8.0	12.6	<5
Alamance-Burlington Schools	Grove Park Elementary	010351	Math Grade 4	37.6	29.4	<5	22.4	5.9
Alamance-Burlington Schools	Grove Park Elementary	010351	Math Grade 5	24.0	28.1	6.3	33.3	8.3
Alamance-Burlington Schools	Grove Park Elementary	010351	All Science	31.3	21.9	11.5	29.2	6.3
Alamance-Burlington Schools	Grove Park Elementary	010351	Science Grade 5	31.3	21.9	11.5	29.2	6.3
Alamance-Burlington Schools	Hawfields Middle	010353	All Subjects	23.2	23.4	8.8	34.9	9.6
Alamance-Burlington Schools	Hawfields Middle	010353	All EOG	24.0	23.9	8.7	33.9	9.5
Alamance-Burlington Schools	Hawfields Middle	010353	EOG Grade 6	26.3	24.1	9.3	33.2	7.1
Alamance-Burlington Schools	Hawfields Middle	010353	EOG Grade 7	25.8	25.3	7.4	29.3	12.1
Alamance-Burlington Schools	Hawfields Middle	010353	EOG Grade 8	21.4	23.0	9.0	37.0	9.5
Alamance-Burlington Schools	Hawfields Middle	010353	All Reading	22.1	24.9	9.8	35.7	7.5
Alamance-Burlington Schools	Hawfields Middle	010353	Reading Grade 6	18.3	23.2	12.4	38.2	7.9
Alamance-Burlington Schools	Hawfields Middle	010353	Reading Grade 7	21.4	25.1	6.5	38.1	8.8
Alamance-Burlington Schools	Hawfields Middle	010353	Reading Grade 8	26.3	26.3	10.2	31.4	5.9
Alamance-Burlington Schools	Hawfields Middle	010353	All Math	30.2	27.7	8.7	25.2	8.2
Alamance-Burlington Schools	Hawfields Middle	010353	Math Grade 6	34.4	24.9	6.2	28.2	6.2
Alamance-Burlington Schools	Hawfields Middle	010353	Math Grade 7	30.2	25.6	8.4	20.5	15.3
Alamance-Burlington Schools	Hawfields Middle	010353	Math Grade 8	26.3	32.2	11.4	26.3	<5
Alamance-Burlington Schools	Hawfields Middle	010353	All Science	11.8	10.6	5.5	53.3	18.8
